x	y
28.015789616785916	47.88
38.16916303494994	54.36
47.758460152104846	60.480000000000004
60.920240508984136	68.88
77.8425295392575	79.67999999999999
88.74800469210034	86.64
107.36252262540106	98.52000000000001
123.1566590536562	108.60000000000001
132.7459561708111	114.72
142.14722785429632	120.72
156.62518624686354	129.96
166.02645793034873	135.96
183.8888741289706	147.35999999999999
201.9393157612622	158.88
210.21243484272918	164.16
221.11790999557203	171.12
238.0401990258454	181.92000000000002
257.40681869382496	194.28000000000003
272.26082795373156	203.76
290.12324415235344	215.16
304.78922797859036	224.52
320.58336440684553	234.60000000000002
330.5487123913398	240.95999999999998
339.5739332074856	246.71999999999997
352.7357135643649	255.12
362.51303611518955	261.36
380.5634777474811	272.88
393.5372326706907	281.15999999999997
404.44270782353357	288.12
416.2883101447249	295.68
429.26206506793443	303.96
444.11607432784115	313.44
450.6969645062807	317.64
464.42282116416914	326.4
475.328296317012	333.36
483.97746626581835	338.88
497.32727205636735	347.4
510.8651032805861	356.04
521.9586038670986	363.12
537.9407657290235	373.32
556.7433090959938	385.32
572.7254709579187	395.52
590.5878871565405	406.91999999999996
602.2454640440623	414.36
621.6120837120418	426.72
629.3211264924996	431.64
637.0301692729576	436.56000000000006
643.4230340177274	440.64
659.4051958796523	450.84000000000003
669.5585692978163	457.32
675.9514340425864	461.40000000000003
684.4125785577229	466.79999999999995
692.1216213381808	471.72
