x	y
51.15486111111111	3683.15
52.227222222222224	3760.36
52.80958333333333	3802.29
53.96597222222223	3885.55
54.33708333333333	3912.27
55.05569444444444	3964.01
55.27236111111112	3979.61
55.30583333333334	3982.02
55.55736111111111	4000.13
55.97555555555555	4030.24
56.32347222222222	4055.29
56.571111111111115	4073.12
56.60777777777778	4075.76
56.76986111111111	4087.43
57.130138888888894	4113.37
57.153333333333336	4115.04
58.290694444444455	4196.93
58.58319444444444	4217.99
58.665972222222216	4223.95
58.71777777777779	4227.68
59.055972222222216	4252.03
60.688472222222224	4369.57
60.74652777777777	4373.75
60.805555555555564	4378.0
61.12069444444444	4400.69
61.83041666666667	4451.79
61.906944444444456	4457.3
62.687222222222225	4513.48
62.98305555555555	4534.78
63.948194444444454	4604.27
64.59944444444444	4651.16
64.75569444444444	4662.41
65.09972222222223	4687.18
65.77236111111111	4735.61
66.10763888888889	4759.75
66.39819444444446	4780.67
67.1726388888889	4836.43
68.58902777777777	4938.41
68.64347222222223	4942.33
68.79916666666666	4953.54
69.26194444444444	4986.86
69.62777777777778	5013.2
70.04930555555556	5043.55
70.11777777777776	5048.48
70.69708333333332	5090.19
71.24166666666666	5129.4
71.51555555555555	5149.12
72.1511111111111	5194.88
72.5536111111111	5223.86
73.34013888888889	5280.49
74.08680555555556	5334.25
74.615	5372.28
75.04458333333334	5403.21
