x	y
211.23407722706844	5403.21
287.7887092422476	5129.4
360.0903061454723	5280.49
459.3277920910748	5372.28
586.9188454497067	5223.86
669.1441909474919	5334.25
809.4943496419869	5090.19
928.5793327767101	4942.33
1000.8809296799348	4836.43
1071.764848212508	4986.86
1180.926082752671	5194.88
1251.8100012852442	5149.12
1386.4894464971333	5013.2
1522.586570079674	4938.41
1584.9644183883383	5048.48
1667.189763886124	5043.55
1794.7808172447556	4651.16
1940.801689421857	4780.67
2052.7982807033227	4953.54
2187.4777259152115	4687.18
2298.056638826026	4662.41
2417.1416219607495	4457.3
2492.2785756052767	4759.75
2560.3271373965467	4451.79
2659.5646233421494	4534.78
2733.283898616026	4735.61
2869.3810221985664	4400.69
2967.2008297735174	4378.0
3049.4261752713032	4604.27
3138.7399126223454	4369.57
3236.559720197295	4513.48
3348.5563114787624	4373.75
3398.1750544515626	4252.03
3501.66557550912	4227.68
3583.8909210069055	4217.99
3649.1041260568722	4223.95
3749.7592903731265	3964.01
3851.832133060032	4055.29
3935.4751569284695	4087.43
4055.9778184338434	4115.04
4197.745655498989	4196.93
4318.248317004364	4113.37
4452.927762216253	3912.27
4540.823821196644	3802.29
4686.844693373746	3683.15
4744.969506570455	4000.13
4803.094319767165	3979.61
4851.295384369315	4075.76
4971.79804587469	3982.02
5048.3526778898695	3885.55
5096.55374249202	4073.12
5160.3492691713345	3760.36
5218.474082368045	4030.24
