x	y
28.015789616785916	5403.21
38.16916303494994	5129.4
47.758460152104846	5280.49
60.920240508984136	5372.28
77.8425295392575	5223.86
88.74800469210034	5334.25
107.36252262540106	5090.19
123.1566590536562	4942.33
132.7459561708111	4836.43
142.14722785429632	4986.86
156.62518624686354	5194.88
166.02645793034873	5149.12
183.8888741289706	5013.2
201.9393157612622	4938.41
210.21243484272918	5048.48
221.11790999557203	5043.55
238.0401990258454	4651.16
257.40681869382496	4780.67
272.26082795373156	4953.54
290.12324415235344	4687.18
304.78922797859036	4662.41
320.58336440684553	4457.3
330.5487123913398	4759.75
339.5739332074856	4451.79
352.7357135643649	4534.78
362.51303611518955	4735.61
380.5634777474811	4400.69
393.5372326706907	4378.0
404.44270782353357	4604.27
416.2883101447249	4369.57
429.26206506793443	4513.48
444.11607432784115	4373.75
450.6969645062807	4252.03
464.42282116416914	4227.68
475.328296317012	4217.99
483.97746626581835	4223.95
497.32727205636735	3964.01
510.8651032805861	4055.29
521.9586038670986	4087.43
537.9407657290235	4115.04
556.7433090959938	4196.93
572.7254709579187	4113.37
590.5878871565405	3912.27
602.2454640440623	3802.29
621.6120837120418	3683.15
629.3211264924996	4000.13
637.0301692729576	3979.61
643.4230340177274	4075.76
659.4051958796523	3982.02
669.5585692978163	3885.55
675.9514340425864	4073.12
684.4125785577229	3760.36
692.1216213381808	4030.24
