x	y
22.882955677109127	45.785153522398744
38.047211325801044	52.88983698026811
56.304901115788944	64.41323226613238
59.679921600968854	69.29509271011658
67.98850809352088	77.05945503258175
94.05605267641148	89.71686896481349
103.42252808059636	96.80163498872281
111.57954605072224	108.24594951597355
134.13845051410982	114.655469938356
153.3161348121354	133.7132431197486
162.23839989780487	124.38542362395863
190.3497246780154	146.26765051950838
195.2330574375876	156.8220164709724
204.12098866789847	152.02326207579517
204.29805590938327	162.67470581604596
215.09638589321133	171.10474412202382
223.79323572778335	186.57172466027916
225.87206621633047	181.93138599507276
244.15176999650092	196.4975514069983
266.2025459138111	206.08251311098593
276.0332297828144	216.55393110050784
291.4052641630128	227.44613274311303
322.8037430906889	234.99342059546893
339.4689472405242	244.43854022499445
350.58469748615613	270.5730327799762
369.7339045375161	280.8077395391622
372.2890809409472	263.56330615341653
381.07828345651154	251.20598086742365
387.53010709491065	285.8626217514606
396.7505545258993	308.7618182542987
409.351845510197	317.3684979435221
435.6802109665124	324.0044023407524
442.06125070255746	342.3490139342875
442.6016018954361	298.515275113626
500.7599612103747	380.75967493111966
505.07504033084854	358.0358621952291
506.9634133523129	332.3704610810613
520.299122377924	347.6674863140788
529.5131947355169	364.13187628974043
552.7177307401786	393.8253460090443
582.3649996403979	368.18551465847946
586.0911711542991	389.1861825423862
598.6887435630908	417.0961155759584
609.9434225908374	400.4518647547926
624.4240925030686	443.8067312823184
629.5675699952191	434.56806444704944
635.3270560552996	475.70587008080213
635.4102079197312	409.0809331236514
648.5310168951312	463.70937264760175
655.028342845654	429.2390851924257
700.6360314500821	450.8598023659084
