x	y
172.5334210743045	22.882955677109127
286.8692150177158	38.047211325801044
424.5289528955095	56.304901115788944
449.9760078442045	59.679921600968854
512.621274132325	67.98850809352088
709.1659298732854	94.05605267641148
779.7874906408454	103.42252808059636
841.2899571931993	111.57954605072224
1011.3800896777091	134.13845051410982
1155.9764227262085	153.3161348121354
1223.2487165978564	162.23839989780487
1435.203111987103	190.3497246780154
1472.0225735611184	195.2330574375876
1539.0359962621324	204.12098866789847
1540.371051810229	204.29805590938327
1621.7885417659872	215.09638589321133
1687.3612446851832	223.79323572778335
1703.0352573032906	225.87206621633047
1840.8609767566854	244.15176999650092
2007.1199102633486	266.2025459138111
2081.241520397647	276.0332297828144
2197.143929068594	291.4052641630128
2433.882882827988	322.8037430906889
2559.5355618544604	339.4689472405242
2643.346344200419	350.58469748615613
2787.727963867513	369.7339045375161
2806.9935400698614	372.2890809409472
2873.262565799005	381.07828345651154
2921.908169986169	387.53010709491065
2991.4287057749802	396.7505545258993
3086.4402014118214	409.351845510197
3284.951400208432	435.6802109665124
3333.0633063452888	442.06125070255746
3337.1374583562633	442.6016018954361
3775.6411568410144	500.7599612103747
3808.176086915909	505.07504033084854
3822.4140840634363	506.9634133523129
3922.9629612760873	520.299122377924
3992.4354301439075	529.5131947355169
4167.3935097652	552.7177307401786
4390.928650987432	582.3649996403979
4419.023322317242	586.0911711542991
4514.0067805553035	598.6887435630908
4598.865061240294	609.9434225908374
4708.046740157072	624.4240925030686
4746.827646804859	629.5675699952191
4790.253148632383	635.3270560552996
4790.880098919818	635.4102079197312
4889.808667926869	648.5310168951312
4938.797351464807	655.028342845654
5282.671222185325	700.6360314500821
