x	y
20.817601739731778	4.786213344195694
46.84184504590015	11.379800685740623
70.1897292345728	19.704534816349877
97.7942900035778	28.930186866334044
128.0656196980082	41.23114747060138
143.63292643555423	53.2470420417788
160.21373682497597	67.5815896604423
169.96326430192758	82.8343469987722
192.34295823276156	98.26405048299536
209.48052759826183	114.80047401738152
232.68160075695403	134.54846406944927
253.9265782733081	155.61016551113684
284.0626131486328	178.72416678479004
293.45661933301824	203.02668874706237
318.36448400834007	229.0635218740771
349.3955978158524	254.41962645641695
383.99648112631	284.3084598735718
402.2342368260737	312.9668436741092
434.52661626171084	346.34892320119366
460.6120134590119	381.6926950071137
480.1500875702433	419.1262309069408
490.17319405719553	457.47164177318115
523.2019536905093	494.0700625594817
543.1552985425546	535.2029940826873
550.9304457818981	573.6186623911614
582.6965456438436	617.9346170471417
597.904409541156	664.0229335688069
614.7323987346774	706.7100329387454
648.6914606886596	754.7811270964538
653.4060077860277	799.3414331915718
678.782797777101	849.7393411859473
693.0924498894664	901.4273125197062
707.2055387938034	949.298908724196
