x	y
33.72892745751234	51.52619045150824
54.055150750218715	64.49862055056337
70.78816865769085	75.17782553739487
84.78240731175639	84.10911002222595
100.47102339891201	94.12176572371904
113.64617727072586	102.53030085516815
127.80863297257376	111.56894339970378
144.13373248063783	121.98781016008576
156.00971896701952	129.56720168468794
184.45439475348664	147.72092178391745
197.3455366574184	155.94819720235498
216.51065706079228	168.17959804807697
234.27876348285042	179.51940846113243
264.20770066646844	198.62040129991584
276.2118909887291	206.2816139909699
299.51636967904057	221.15480102879334
330.31910504354397	240.81346194289915
355.15886824460125	256.66648525975035
369.70116312318686	265.94754554702916
388.99178327267083	278.2590417779301
415.04919842829025	294.8891846136446
438.44274177881255	309.81921374467163
466.32492949625527	327.61394747186864
489.48978658062083	342.3980263907184
511.55671089967194	356.4813919578353
524.3827949997335	364.667146735623
541.8981910490783	375.84567447466065
569.9995941532482	393.7803139895687
583.5412322344904	402.4227435696202
596.0379228286395	410.3982756135041
612.7191825362854	421.04444792035224
629.73508567892	431.9041935263806
654.437129620413	447.66932282365593
663.9594938687187	453.7466054949141
679.2206199960855	463.48643217443146
692.3290675520045	471.8523945658468
