x	y
216.67118293157336	5403.209892651977
271.28645512888824	5129.4027412753285
354.5166906997452	5280.488312163898
484.82157995280033	5372.278278786936
630.9954869987349	5223.85649528193
651.4242164709545	5334.24849822978
769.3267223793953	5090.191933721517
885.5082524489937	4942.326939201226
1056.346123839668	4986.860714164741
1092.292712976943	4836.428445721061
1296.3991999067598	5194.87986344576
1315.888622496832	5149.116161537115
1455.512930871743	5013.196898728654
1530.3484265397663	4938.414563994638
1664.5304547766436	5048.48433299505
1746.333582062232	5043.554983116503
1841.2184198105226	4651.157532162084
1874.4979233277434	4780.671489089978
2035.6102611337735	4953.54285449828
2082.607666770503	4662.414527039825
2188.9688746559846	4687.177446621157
2278.7901214405097	4457.30339578491
2379.3462254706424	4451.793080355157
2412.634177405525	4759.748505403693
2519.3777763107596	4534.780738411936
2568.3027730008857	4735.6121575583975
2651.083582396342	4400.685511734726
2990.069491681872	4513.483607875988
3006.459877062727	4604.267793233792
3029.0662910569404	4378.004197119463
3065.1654349352816	4373.751545431291
3414.2023791517167	4369.570342369172
3514.77611064512	4252.031749574436
3653.757099572225	4227.6833542218565
3655.0037217608656	4223.951451918983
3878.1348772327733	4217.99299882182
4022.0688050094523	3964.014755386131
4115.345764331943	4115.036983423573
4182.907394005102	4055.286261791468
4209.862882832796	4087.431287112082
4436.735643031094	4113.369853319693
4493.189395584577	4196.927411921142
4504.8746195653175	4000.131969170683
4550.295687572509	3979.6145810335615
4703.801454819045	3912.2656137090794
4825.941964817556	3802.2896058595097
4849.987591207772	4075.7592975467146
4896.687774901125	3683.15331868065
4943.456087688575	3885.5472151469917
5078.859911275554	3760.3631642921255
5102.4561444629835	4073.1155351003877
5399.8273960766455	4030.2377213090854
5446.8849762862865	3982.0230746551524
